Country Name;Country Code;2015;2016;2017;2018;2019
Afghanistan;AFG;2068,27;2057,06;2058,38;2033,78;2065,04
Angola;AGO;8036,41;7569;7310,9;6933,51;6670,33
Albania;ALB;11916,42;12331,13;12811,76;13366,3;13724,06
Arab World;ARB;14441,44;14663,55;14555,47;14622,07;14602,94
United Arab Emirates;ARE;65218,79;66510,87;67183,63;66968,27;67119,13
Argentina;ARG;23933,89;23189,53;23597,12;22759,4;22063,9
Armenia;ARM;11321,36;11303,07;12115,06;12714,96;13653,75
Antigua and Barbuda;ATG;18595,08;19417,96;19840,08;21115,8;21910,18
Australia;AUS;47784,18;48347,03;48633,13;49304,25;49611,86
Austria;AUT;52966,7;53439,41;54342,95;55474,2;56029,61
Azerbaijan;AZE;14853,91;14238,78;14121,41;14209,65;14403,85
Burundi;BDI;825,21;794,6;773,57;761,52;751,66
Belgium;BEL;49613,37;49988,08;50596,64;51279,65;51914,91
Benin;BEN;2945,97;2961,44;3044,51;3160,78;3287,31
Burkina Faso;BFA;1925,33;1981,43;2044,38;2120,32;2178,32
Bangladesh;BGD;3700,11;3920,3;4161,09;4441,42;4753,73
Bulgaria;BGR;19682,8;20578,6;21455,56;22279,36;23265,62
Bahrain;BHR;48110,8;47937,78;47709,87;46227,03;45010,71
Bahamas, The;BHS;35400,08;35557,32;36297,31;37019,52;37100,74
Bosnia and Herzegovina;BIH;12671,01;13236,45;13797,79;14432,68;14922,15
Belarus;BLR;18307,52;17822,61;18280,2;18885,24;19149,64
Belize;BLZ;7259,02;7117,94;7108,87;7118,33;7004,66
Bermuda;BMU;77842,75;78149,35;81834,96;81420,86;81797,87
Bolivia;BOL;7984,41;8202,55;8423,7;8655,53;8724,48
Brazil;BRA;15059,23;14446,41;14519,85;14596,25;14651,62
Barbados;BRB;15382,93;15738,19;15788,82;15674,85;15638,83
Brunei Darussalam;BRN;63148,55;60865,99;60995,68;60388,9;62099,59
Bhutan;BTN;10086,2;10775,15;11142,4;11348,47;11832,19
Botswana;BWA;16714,4;17117,12;17253,28;17634,19;17766,54
Central African Republic;CAF;852,75;884,49;912,8;933,11;944,87
Canada;CAN;47629,51;47564,81;48490,38;48780,09;48886,76
Central Europe and the Baltics;CEB;27528,55;28477,95;29975,42;31392,23;32658,98
Switzerland;CHE;65936,63;66344,07;66910,57;68246,4;68394,29
Chile;CHL;24516,84;24608,07;24548,19;25165,18;25131,46
China;CHN;12691,82;13487,82;14344,42;15242,99;16092,3
Cote d'Ivoire;CIV;4417,15;4615,71;4830,75;5033,48;5212,56
Cameroon;CMR;3458,69;3524,44;3554,53;3603,55;3642,28
Congo, Dem. Rep.;COD;1065,24;1055,57;1059,81;1085,89;1097,95
Congo, Rep.;COG;5252,15;4598,66;4274,3;3906,94;3673,12
Colombia;COL;14143,7;14242,81;14219,53;14356,69;14624,97
Comoros;COM;2959,54;2987,99;3032,25;3066,84;3059,51
Cabo Verde;CPV;6266,85;6482,65;6643,2;6864,15;7171,84
Costa Rica;CRI;18625;19211,57;19749,17;20073,88;20296,82
Caribbean small states;CSS;15973,2;15634,42;15612,3;15781,14;15849,48
Curacao;CUW;26548,7;26009,53;25475,49;24982,15;24479,26
Cyprus;CYP;34375,56;36526,82;37766,9;38822,49;39544,68
Czech Republic;CZE;36283,91;37133,15;38948,86;40053,77;40836,33
Germany;DEU;51247,07;51968,68;53121,99;53634,14;53784,78
Djibouti;DJI;4488,83;4709,55;4885,22;5214,09;5534,75
Dominica;DMA;11872,41;12154,75;11304,36;11537,18;11917,08
Denmark;DNK;53061,54;54358,03;55533,45;56461,01;57821,2
Dominican Republic;DOM;15328,35;16166,6;16735,33;17711,77;18412,9
Algeria;DZA;11696,96;11826,16;11737,41;11642,19;11510,56
East Asia & Pacific (excluding high income);EAP;11624,94;12276,81;12986,32;13725,89;14416,8
Early-demographic dividend;EAR;8513,16;8839,67;9160,57;9402,06;9526,25
East Asia & Pacific;EAS;14983,22;15613,67;16348,3;17066,39;17723,21
Europe & Central Asia (excluding high income);ECA;20055,67;20222,35;20849,7;21361,33;21649,84
Europe & Central Asia;ECS;32746,5;33220,15;34084,07;34766,01;35228,49
Ecuador;ECU;11896,38;11551,62;11617,91;11561,75;11375,33
Egypt, Arab Rep.;EGY;10570,45;10795,81;11014,49;11366,34;11763,25
Euro area;EMU;43966,7;44679,95;45744,56;46519,37;47011,49
Spain;ESP;37496,42;38600,45;39655,15;40441,27;40985,56
Estonia;EST;31246,23;32232,92;33964,31;35320,47;36956,28
Ethiopia;ETH;1779,08;1894,9;2021,56;2103,51;2221,4
European Union;EUU;40854,07;41635,82;42799,2;43710,67;44378,74
Finland;FIN;45108,99;46244,11;47644,43;48303,36;48814,31
Fiji;FJI;12569,22;12820,83;13429,32;13846,27;13684,39
France;FRA;43484,24;43844,75;44755,33;45488,65;46110,18
